"Date","Open","High","Low","Close","Volume"
"Dec 31, 2013","3,500.00","3,521.70","3,480.25","3,482.60","448,851"
"Dec 30, 2013","3,567.70","3,575.00","3,475.00","3,502.00","1,482,929"
"Dec 27, 2013","3,530.00","3,572.00","3,529.95","3,562.65","922,758"
"Dec 26, 2013","3,487.00","3,534.40","3,483.75","3,529.80","858,741"
"Dec 24, 2013","3,486.00","3,502.90","3,466.10","3,488.00","888,739"
"Dec 23, 2013","3,500.00","3,539.90","3,460.55","3,467.00","1,105,738"
"Dec 20, 2013","3,525.00","3,573.00","3,508.40","3,564.00","1,085,682"
"Dec 19, 2013","3,462.50","3,544.95","3,455.00","3,515.10","916,432"
"Dec 18, 2013","3,450.00","3,473.75","3,447.50","3,457.00","1,147,918"
"Dec 17, 2013","3,445.10","3,484.90","3,445.10","3,460.00","1,339,244"
"Dec 16, 2013","3,380.00","3,464.00","3,353.80","3,451.00","1,264,712"
"Dec 13, 2013","3,345.00","3,380.00","3,345.00","3,373.00","1,039,453"
"Dec 12, 2013","3,364.40","3,385.70","3,348.00","3,359.05","690,029"
"Dec 11, 2013","3,365.00","3,381.70","3,340.00","3,376.65","782,120"
"Dec 10, 2013","3,335.00","3,389.85","3,331.55","3,373.55","1,543,237"
"Dec 9, 2013","3,365.00","3,384.05","3,321.05","3,330.00","1,107,079"
"Dec 6, 2013","3,339.05","3,349.00","3,318.20","3,327.00","818,106"
"Dec 5, 2013","3,380.00","3,399.00","3,342.00","3,352.00","789,634"
"Dec 4, 2013","3,350.00","3,386.00","3,336.80","3,365.00","1,055,390"
"Dec 3, 2013","3,320.00","3,359.50","3,320.00","3,348.20","875,155"
"Dec 2, 2013","3,352.00","3,376.90","3,325.10","3,340.00","588,922"
"Nov 29, 2013","3,336.00","3,366.00","3,310.00","3,355.05","676,445"
"Nov 28, 2013","3,301.40","3,338.00","3,265.00","3,330.00","937,496"
"Nov 27, 2013","3,320.00","3,335.85","3,285.80","3,301.40","847,453"
"Nov 26, 2013","3,320.00","3,349.00","3,292.65","3,306.00","915,137"
"Nov 25, 2013","3,352.00","3,378.80","3,307.00","3,331.00","713,412"
"Nov 22, 2013","3,346.00","3,375.00","3,336.00","3,352.45","340,117"
"Nov 21, 2013","3,396.00","3,400.00","3,313.10","3,353.00","1,061,937"
"Nov 20, 2013","3,409.00","3,443.30","3,395.00","3,401.50","538,326"
"Nov 19, 2013","3,406.00","3,448.00","3,400.05","3,439.20","1,121,901"
"Nov 18, 2013","3,391.00","3,415.00","3,387.85","3,406.10","790,817"
"Nov 14, 2013","3,352.30","3,375.00","3,350.05","3,354.00","542,941"
"Nov 13, 2013","3,316.05","3,358.60","3,316.05","3,334.00","585,939"
"Nov 12, 2013","3,362.50","3,375.00","3,328.10","3,336.05","806,523"
"Nov 11, 2013","3,350.00","3,398.00","3,340.10","3,364.00","975,400"
"Nov 8, 2013","3,350.00","3,389.20","3,350.00","3,361.00","1,077,014"
"Nov 7, 2013","3,321.65","3,399.95","3,313.60","3,348.95","899,089"
"Nov 6, 2013","3,275.30","3,312.20","3,275.30","3,306.90","463,083"
"Nov 5, 2013","3,252.00","3,290.55","3,233.00","3,255.05","665,029"
"Nov 3, 2013","3,280.00","3,295.75","3,273.20","3,280.00","50,502"
"Nov 1, 2013","3,300.00","3,315.00","3,269.40","3,272.00","770,838"
"Oct 31, 2013","3,304.30","3,328.00","3,296.20","3,298.10","1,210,943"
"Oct 30, 2013","3,311.00","3,338.85","3,307.45","3,323.70","698,886"
"Oct 29, 2013","3,319.50","3,364.95","3,306.75","3,327.00","650,049"
"Oct 28, 2013","3,317.20","3,334.90","3,293.15","3,325.00","426,556"
"Oct 25, 2013","3,328.00","3,350.00","3,306.30","3,328.00","751,418"
